'GSRT.psqrt_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.psqrt_re_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.psqrt_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.psqrt_differentiableAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.two_mul_re_mul_im_psqrt' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1_im_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2_im_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.nsw_ratio_re_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.IsAttenuationCoefficient.re_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.IsAttenuationCoefficient.re_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.IsAttenuationCoefficient.im_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1C_ofReal' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1C_im_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1C_differentiableOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1C_continuousOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.norm_kappa1C_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2C_ofReal' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2C_im_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2C_differentiableOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2C_continuousOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.norm_kappa2C_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.iteratedDeriv_restrict' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.polyGrowth_of_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa1_polyGrowth' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.kappa2_polyGrowth' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.synth_im_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.conjSymm_symmetrize' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.synth_symmetrize_im_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.symmetrize_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.symmetrize_eq_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.sum_exp_two_pi_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.conj_fourierIntegral' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.integral_exp_int_mul_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.integral_synth_mul_exp' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.discrete_angular_extraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.Aentry_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.tikhonovObj_eq_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.tikhonovObj_le_of_isNormalEqSolution' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.eq_of_isNormalEqSolution_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.injective_normalOp' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.existsUnique_normalEqSolution' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.existsUnique_tikhonov_minimizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.filterFactor_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.cond_regularized_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.isNormalEqSolution_tikhonovSol' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.inner_tikhonovSol' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.norm_inner_tikhonovSol_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'GSRT.exists_isSingularSystem' depends on axioms: [propext, Classical.choice, Quot.sound]
